"","�..eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"60878",199511190001,1995,11,19,"",0,"",153,"Pakistan",6,"South Asia","Islamabad Capital Territory","Islamabad",33.708988,73.053857,1,0,"","",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",7,"Government (Diplomatic)",46,"Embassy/Consulate","Egyptian State Dept.","Egyptian Embassy",60,"Egypt",7,"Government (Diplomatic)",46,"Embassy/Consulate","","Egyptian Embassy",153,"Pakistan",7,"Government (Diplomatic)",46,"Embassy/Consulate","","Egyptian Embassy",4,"Afghanistan","Al-Jihad","","","","",511,NA,NA,"","",0,NA,NA,NA,NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Car bomb",16,NA,NA,60,NA,NA,1,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","","","","PGIS",1,1,1,1,""
"61103",199512210001,1995,12,21,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Peshawar",34.009667,71.579994,1,0,"","",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",7,"Retail/Grocery/Bakery","Wadood & sons department store","street outside departement store",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Afghans","","","","",278,NA,NA,"","",0,NA,NA,2,NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Car bomb",42,NA,NA,100,NA,NA,1,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","","","","PGIS",1,1,0,1,""
"67804",199806050003,1998,6,5,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Lahore",31.554606,74.357158,1,0,"","06/05/1998: A bomb exploded during a matinee in a movie theater in Lahore, Pakistan, killing three and injuring 10. About 50 people were in the theater when the bomb exploded, shattering dozens of theater seats. Suicide bombers were believed to be responsible for the attack, but the exact circumstances of the blast were unknown. Pakistani officials accused India's Research and Analysis Wing (RAW) for staging this attack; however, India denied any involvement.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","","Movie Theater",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Other","","","","",20348,NA,NA,"","Unknown",1,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",3,0,NA,10,0,NA,1,3,"Minor (likely < $1 million)",NA,"The attack damaged the theater seats.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Pakistani officials suspected India's involvement however India denied the charges. Each country routinely accuses the other of acts of terrorism.","Munir Ahmed, “Bomb Rips Through Pakistan Theater; 3 Killed, 10 Injured,” The Associated Press, June 5, 1998.","“Bomb Kills Three,” Pittsburgh Post-Gazette, June 6, 1998.","","CETIS",-9,-9,0,-9,""
"74032",200205080002,2002,5,8,"",0,"",153,"Pakistan",6,"South Asia","Sindh","Karachi",24.893379,67.028061,1,0,"","05/08/2002: Fourteen military personnel, 11 French and three Pakistani, were killed in Karachi, Pakistan when they were attacked by a man who exploded the car he was in next to the bus they had just boarded. Another 20 were reported to have been injured in the bombing. The French nationals were in Pakistan assisting the Pakistani military on naval matters and were assumed to be the main target. Authorities, including the French defense minister Alliot-Marie, believed that there was a strong chance Al-Qa`ida was involved in the attack. They also believed that this incident was related to an April, 2002 bombing in Tunisia that killed 17 people, including 12 Germans, which Al Qa`ida was also suspected to have perpetrated. French and Pakistani authorities believed that three perpetrators were behind the bombing. Pakistani authorities had arrested 406 people in an effort to capture the perpetrators. No group claimed responsibility for the attack.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","French Military","French military personnel in Pakistan",69,"France",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Pakistan Military","Pakistan naval military personnel",153,"Pakistan",NA,".",NA,".","","",NA,".","Al-Qaida","","","","",20029,NA,NA,"","Unknown",1,NA,NA,NA,406,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A Toyota vehicle with a bomb inside.",14,0,1,20,0,0,1,3,"Minor (likely < $1 million)",NA,"Both the bus and the suicide car were destroyed.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The French personnel were working with the Pakistani military on a submarine project. This was a serious attack on the French and may have affected their future policy of having French nationals working in Pakistan, although immediately after the incident the French government said this would not affect their military contracts with Pakistan.","“Traces of Terrorism: The Pakistan Bombing; 2 Deadly Attacks Show Signs of a Qaeda Revival,” New York Times, May 18, 2002.","Raymond Bonner, “At Least 14 Die in Attack on French Group in Pakistan,” New York Times, May 9, 2002.","“New French defence minister views Pakistani car bomb attack,” France Inter Radio, May 12, 2002.","CETIS",0,1,1,1,""
"74186",200206140002,2002,6,14,"",0,"",153,"Pakistan",6,"South Asia","Sindh","Karachi",24.893379,67.028061,1,0,"","06/14/2002: A suicide bombing in front of the U.S. Consulate in Karachi left 12 dead and another 51 injured. Tarjuman Al-Qanoon has taken responsibility for the bombing.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",7,"Government (Diplomatic)",46,"Embassy/Consulate","United States Department of State","U.S. Embassy in Karachi",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Lashkar-e-Omar","Tarjuman Al-Qanoon","","","",20274,NA,NA,"","Unknown",1,NA,NA,NA,0,1,9,"Other",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",12,NA,1,51,NA,0,-9,4,"Unknown",NA,"Windows in the consulate were shattered, debris was strewn a half-mile away and 20 cars were destroyed.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Reuters reported that Karachi police had been tipped off a week ago of an imminent suicide bombing, but did not know when and where it might happen.","Robert Schlesinger and Absar Alam, “Suicide Attack on U.S. Offices in Pakistan Leaves 11 Dead,” Boston Globe, June 15, 2002.","Zarar Khan, “Repeating to Restore EDS Line,” Associated Press, June 16, 2002.","""Eleven Killed, Over 40 Injured in Karachi Blast,” Xinhua, June 14, 2002.","CETIS",0,1,1,1,""
"75636",200307040003,2003,7,4,"",0,"",153,"Pakistan",6,"South Asia","Balochistan","Quetta",30.182125,67.000517,1,0,"","07/04/2003: Three men attacked a Muslim Shia mosque in Quetta, Pakistan. The men fired guns and threw grenades at the worshipers in the mosque before at least one of the men set off a suicide-bomb. The other attackers were over-taken by the worshipers and was killed. The attack lasted approximately ten minutes. Initially 48 were killed and at least 65 were injured, but the death toll rose to at least 53 in the days following the blast.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",2,"Armed Assault",NA,".",15,"Religious Figures/Institutions",86,"Place of Worship","Quetta Mosque of Pakistan","Shia worshipers and religious members at the Mosque in Quetta, Pakistan.",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Lashkar-e-Jhangvi","","","","",1092,NA,NA,"","Unknown",0,NA,NA,3,0,1,6,"Video",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",6,"Explosives/Bombs/Dynamite",7,"Grenade",5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,".",NA,".","The three attackers first fired rifles and threw grenades before at least one of the attackers set-off a bomb attached to himself. Witnesses said the attackers fired five to six rounds at a time multiple times before reloading.",53,0,3,53,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Following the attack there were a number of riots in the surrounding areas of Quetta against Sunni Muslims. The Pakistani Army was mobilized to keep peace in the area.","“Pakistan: Persons killed in Quetta attack buried; toll rises to 53,” The News, July 06, 2003.","“Survivors tell of massacre at Mosque in Pakistan,” The New York Times, July 06, 2003.","“AFP: Pakistan identifies Sunni extremist group member as suspect in Mosque attack,” World News Connection, July 25, 2003.","CETIS",0,0,0,0,""
"75730",200307280003,2003,7,28,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Shorkot",30.834238,72.075992,2,0,"","07/28/2003: A man was killed and five others injured in a blast at a fodder shop in Mohalla Jogiyanwala in Jhang, Pakistan. Local police coined the attack as a suicide bombing; the perpetrators were unknown. A man accompanying the person killed in the blast fled the scene, apparently injured.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",7,"Retail/Grocery/Bakery","Civilians","Civilians in a fodder shop in Mohalla Jogiyanwala, Pakistan",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,2,0,-9,NA,".",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,1,5,0,1,1,3,"Minor (likely < $1 million)",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“One Killed, Five Injured in Suicide Bomb Attack,” Global News Wire, July 28, 2003.","","","CETIS",-9,-9,0,-9,""
"76070",200312250002,2003,12,25,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Rawalpindi",33.600399,73.043426,1,0,"","12/25/2003: Three suicide bombers attempted to ram Pakistani President Perves Musharraf's motorcade with vehicles loaded with 45-60 pounds of explosives, in Rawalpindi, Pakistan, killing fifteen and injuring forty-six bystanders, but missing the President. Pakistani authorities blamed foreign actors affiliated with Al-Qa'ida.",1,1,1,0,NA,".",0,0,1,1,"Assassination",NA,".",NA,".",2,"Government (General)",17,"Head of State","President of Pakistan","President Pervez Musharraf",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Al-Qaida","","","","",20029,NA,NA,"","The specific motive of the attack was to assassinate the President of Pakistan, Pervez Musharraf.",1,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",15,0,0,46,0,0,1,3,"Minor (likely < $1 million)",NA,"Cars were destroyed in the explosion.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Al-Qa’ida Blamed as 15 Killed by Suicide Blast,” Irish Independent, December 27, 2003.","Sadaqat Jan, “Bomber IDed in Pakistan Assassination Try,” Associated Press Online, December 27, 2003.","Sami Zubeiri, “Pakistan Identifies Suicide Bombers in Failed Bid on Musharraf,” Agence France Presse, December 26, 2003.","CETIS",0,1,0,1,""
"76330",200404150001,2004,4,15,"",0,"",153,"Pakistan",6,"South Asia","Balochistan","Quetta",30.182125,67.000517,1,0,"","04/15/2004: A police convoy was ambushed by Taliban militants, using AK-47's and machine guns. Police Chief Yar Mohammed was being escorted to his hometown by at least nine other soldiers at the time of the attack. All of the soldiers and the police chief were killed, along with one Taliban militant.",1,1,1,0,NA,".",0,1,1,2,"Armed Assault",NA,".",NA,".",3,"Police",23,"Police Patrol (including vehicles and convoys)","Pakistan Police","Police convoy",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Taliban (Pakistan)","","","","",20529,NA,NA,"","Unknown",0,NA,NA,NA,0,1,2,"Call (post-incident)",NA,NA,".",NA,NA,".",-9,5,"Firearms",2,"Automatic Weapon",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The militants used AK-47's and machine guns to carry out their attack.",11,0,1,0,0,NA,1,3,"Minor (likely < $1 million)",NA,"Both  vehicles were totaled during the gunfight.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Noor Khan, ""Suspected Taliban kill local police chief, 8 Afghan soldiers in ambush,"" Associated Press, April 15, 2004.","""Afghan Official, 10 Others Killed in Taliban Ambush,"" Agence France Presse, April 15, 2004.","""Afghan troops killed in Taliban ambush,"" The Ottawa Citizen, April 16, 2004.","CETIS",-9,-9,0,-9,""
"76395",200405070001,2004,5,7,"",0,"",153,"Pakistan",6,"South Asia","Sindh","Karachi",24.893379,67.028061,1,0,"","05/07/2004: A suicide bomber killed at least 18 and wounded at least 100 others outside of a Shiite mosque in Karachi, Pakistan. Police suspected that Lashkar-e-Jhanvi (LJ) could have masterminded the attack.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",15,"Religious Figures/Institutions",86,"Place of Worship","Hydary Shi'a Mosque","The Sindh Madrassah tul Islam School in Kashmir, Pakistan",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Lashkar-e-Jhangvi","","","","",1092,NA,NA,"","Unknown",1,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",18,0,1,100,0,0,1,3,"Minor (likely < $1 million)",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The LJ reportedly had been linked to the March 2, 2004, attack in the southwestern city of Quetta in which 48 people were killed.   Forty-eight people also died in a previous attack on a Shiite mosque in the same city in July 2003.","“Policeman Named as Suicide Bomber in Pakistan Mosque Attack,” Hong Kong AFP, May 15, 2004.","Zarar Khan, “Shiite Mosque Bombed in Karachi: At least 14 Killed. Enraged Youths Burn Cars, Gas Pumps and Government Office,” The Gazette, May 8, 2004.","Kamran Khan, “Bomber in Karachi Mosque Kills 15,” The Washington Post, May 8, 2004.","CETIS",0,0,0,0,""
"76730",200407300004,2004,7,30,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Fateh Jang",33.565614,72.643393,1,0,"","07/30/2004: Nine people, including one suicide bomber, were killed when the bomb carried by a suicide bomber exploded near the motorcade of Finance Minister Shaukat Aziz in Fateh Jang, Pakistan. The attack injured at least 50 people and responsibility was claimed by the al-Islambouli Brigades of al-Qa`ida. Finance Minister Shaukat Aziz escaped unharmed from the explosion.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Government of Pakistan","Finance Minister Shaukat Aziz",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Islambouli Brigades of al-Qaida","","","","",20209,NA,NA,"","Unknown",1,NA,NA,1,0,1,7,"Posted to website, blog, etc.",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",9,0,1,50,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The attack occurred as Aziz was returning to Islamabad from Attack where he was campaigning for an August 18, 2004 election.","“Pakistan’s next PM Aziz survives assassination attempt, 5 killed,” Japan Economic Newswire, July 30, 2004.","“Al-Qaida group claims for attack on Pakistani Minister,” Xinhua General News Service, August 01, 2004.","“Eight killed in attempt on Pakistan leader,” United Press International, July 30, 2004.","CETIS",0,0,0,0,""
"76965",200410010001,2004,10,1,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Sialkot",32.493537,74.530343,1,0,"","10/01/2004: A suitcase bomb exploded in the Zainabia mosque in the city of Sialkot, resulting in over 20 deaths. A second suitcase bomb was discovered outside the mosque, but was defused. There were over 1000 worshippers present at the Shiite mosque when the blast occurred.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",15,"Religious Figures/Institutions",86,"Place of Worship","Worshippers at the Shiite mosque","Zainabia Mosque",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The suicide bomber used a suitcase bomb in the attack..",31,0,1,51,0,0,1,3,"Minor (likely < $1 million)",NA,"The explosion created a crater 1.5 meters deep and the walls were covered with blood stains.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The attack followed the killing of Amjad Hussain Farooqi, a top Pakistani al-Qaida operative and leader of the anti-Shiite militant group, Lashkar-e-Jhangvion. Siakholt is known to be a relatively harmonious city, where some of the minority (20% nation-wide) Shia lived. The attack was an effort to create disharmony between the Shia and Sunni communities in Siakholt, as well as to place blame at the government's inability to prevent these types of attacks.The Shia in the city protested after the incident and threatened violence against government officials.","“At least 25 killed in suicide attack in eastern Pakistan,” Deutsche Presse-Agentur, October 1, 2004.","Asif Shahzad, “Suicide bomber carrying briefcase kills at least 25 at Shiite mosque in Pakistan,” The Associated Press, October 1, 2004.","“Investigators suspect banned Sunni groups behind Pakistan mosque massacre,” Agence France Presse, October 4, 2004","CETIS",-9,-9,0,-9,""
"77002",200410100001,2004,10,10,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Lahore",31.554606,74.357158,1,0,"","10/10/2004: A suicide bombing by a man carrying a briefcase at the Husainia Hall Shi’i mosque in Lahore, Pakistan, killed four people, including the attacker. The attack seemed to be caused by ethnic tensions between Sunni and Shi’i Muslims, although exact causes were unknown. No group claimed responsibility for the attack.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",15,"Religious Figures/Institutions",86,"Place of Worship","Shi'I Islam","Worshippers in the Husainia Hall Shi'i mosque in Lahore",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The bomb was stored inside a briefcase.",4,0,1,NA,0,0,1,3,"Minor (likely < $1 million)",NA,"Hussainia Mosque sustained some exterior damage.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","K.M. Chaudhry, ""Four Dead in Blast at Shiite Mosque as Sectarian Violence Spikes in Pakistan,” Associated Press, October 10, 2004.","""Four Killed as Violence Spirals,” Global News Wire, October 11, 2004.","""Mosque Explosion,” PNG Post-Courier, October 12, 2004.","CETIS",-9,-9,0,-9,""
