"","Date","Blast.Day.Type","Holiday.Type","Time","City","Latitude","Longitude","Province","Location","Location.Category","Location.Sensitivity","Influencing.Event.Event","Target.Type","Targeted.Sect.if.any","Total.Died.Min","Total.Died.Max","Injured.Min","Injured.Max","No..of.Suicide.Blasts","Temperature.C.","Temperature.F.","Is_Suicide","Is_Drone"
"1","Sunday-November 19-1995","Holiday","Weekend","N/A","Islamabad",33.718,73.0718,"Capital","Egyptian Embassy","Foreign","High","","Foreigner","None",14,15,NA,"60","2",15.835,60.503,1,0
"2","Monday-November 6-2000","Working Day","","N/A","Karachi",24.9918,66.9911,"Sindh","office of Nawa-e-Waqt","Office Building","Low","","Media","None",NA,3,NA,"3","1",23.77,74.786,1,0
"3","Wednesday-May 8-2002","Working Day","","7:45 AM","Karachi ",24.9918,66.9911,"Sindh","Pakistan Navy bus Parked outside Five Star Sheraton Hotel ","Hotel","Medium","","Foreigner","Christian",13,15,20,"40","1",31.46,88.628,1,0
"4","Friday-June 14-2002","Working Day","","11:10:00 AM","Karachi",24.9918,66.9911,"Sindh","US Consulate Civil Lines Area ","Foreign","High","","Foreigner","Christian",NA,12,NA,"51","1",31.43,88.574,1,0
"5","Friday-July 4-2003","Working Day","","N/A","Quetta",30.2095,67.0182,"Baluchistan","Imambargah MeCongy Road Quetta","Religious","Medium","during Friday prayer","Religious","Shiite",44,47,NA,"65","1",33.12,91.616,1,0
"6","Thursday-December 25-2003","Holiday","Christmas/birthday of Quaid-e-Azam","1:40:00 PM/1:42:00 PM","Rawalpindi",33.6058,73.0437,"Punjab","Jhanda Chichi area rawalpindi ","Mobile","Low","president's/chief of army staff convoy passing from there","Military","None",16,18,NA,"50","2",9.445,49.001,1,0
"7","Saturday-February 28-2004","Working Day","","","Rawalpindi",33.6058,73.0437,"Punjab","Yadgar-i-Hussaini in Satellite Town","Religious","Medium","maghrib prayer was in process","Religious","shiite",NA,1,3,"4","1",15.275,59.495,1,0
"8","Friday-May 7-2004","Working Day","","1:20:00/1:17:00 PM","Karachi ",24.9918,66.9911,"Sindh","Karachi Shia mosque Sindh Madrassatul Islam","Religious","Medium","Friday prayer was in progress","Religious","shiite",14,15,96,"200","1",33.86,92.948,1,0
"9","Monday-May 31-2004","Working Day","","evening","Karachi ",24.9918,66.9911,"Sindh","Imambargah off M.A Jinnah road near Numaish intersection","Religious","Medium","","Religious","Shiite",16,18,NA,"35","1",31.605,88.889,1,0
"10","Thursday-June 3-2004","Working Day","","N/A","North waziristan",32.9746,70.1456,"FATA","checkpost in north waziristan-close to Afghanistan border","Military","High","","Military","None",NA,2,NA,"2","1",27.18,80.924,1,0
